"fed_2012","licences","ratio","age","sex","federation"
103,0,0,"75_99","all","Fédération Française de badminton"
103,12,0.831946755407654,"5_9","all","Fédération Française de badminton"
103,84,8.28892835997632,"15_19","h","Fédération Française de badminton"
103,4,0.555864369093941,"5_9","f","Fédération Française de badminton"
103,133,6.20017714791851,"15_19","all","Fédération Française de badminton"
103,130,9.44218477629285,"10_14","all","Fédération Française de badminton"
105,7,0.41371158392435,"60_74","f","Fédération Française de basketball"
105,479,7.78115304017284,"20_29","all","Fédération Française de basketball"
105,1565,11.6098784115609,"all","h","Fédération Française de basketball"
105,0,0,"0_4","h","Fédération Française de basketball"
105,251,34.7260653016049,"5_9","h","Fédération Française de basketball"
105,0,0,"0_4","f","Fédération Française de basketball"
105,157,5.03511753952728,"20_29","f","Fédération Française de basketball"
105,81,11.2562534741523,"5_9","f","Fédération Française de basketball"
105,199,29.1063331870704,"10_14","f","Fédération Française de basketball"
105,40,1.54320987654321,"45_59","f","Fédération Française de basketball"
105,141,12.4591322788725,"15_19","f","Fédération Française de basketball"
105,2271,7.96956755182324,"all","all","Fédération Française de basketball"
105,371,17.2952309915622,"15_19","all","Fédération Française de basketball"
105,9,0.397386082656305,"75_99","all","Fédération Française de basketball"
105,1,0.0655522779416585,"75_99","f","Fédération Française de basketball"
105,8,1.08210469362911,"75_99","h","Fédération Française de basketball"
105,0,0,"0_4","all","Fédération Française de basketball"
105,138,2.84336753616022,"45_59","all","Fédération Française de basketball"
105,79,2.86917992300429,"30_44","f","Fédération Française de basketball"
105,407,58.7132140796307,"10_14","h","Fédération Française de basketball"
105,300,5.27537455159316,"30_44","all","Fédération Française de basketball"
105,322,10.5997761537955,"20_29","h","Fédération Française de basketball"
105,221,7.53391968364355,"30_44","h","Fédération Française de basketball"
105,36,1.23140071831709,"60_74","all","Fédération Française de basketball"
105,230,22.6958752713637,"15_19","h","Fédération Française de basketball"
105,332,23.0171935662784,"5_9","all","Fédération Française de basketball"
105,705,4.69499200852424,"all","f","Fédération Française de basketball"
105,29,2.35466060409224,"60_74","h","Fédération Française de basketball"
105,606,44.0151074956421,"10_14","all","Fédération Française de basketball"
105,98,4.33359865570001,"45_59","h","Fédération Française de basketball"
109,403,35.6101440311037,"15_19","f","Fédération Française d'équitation"
109,323,10.3588723902376,"20_29","f","Fédération Française d'équitation"
109,1,0.118063754427391,"0_4","h","Fédération Française d'équitation"
109,48,6.64084117321527,"5_9","h","Fédération Française d'équitation"
109,351,2.60387688335967,"all","h","Fédération Française d'équitation"
109,83,11.9734564339296,"10_14","h","Fédération Française d'équitation"
109,36,3.55239786856128,"15_19","h","Fédération Française d'équitation"
109,725,106.040661108673,"10_14","f","Fédération Française d'équitation"
109,1954,13.0127863612147,"all","f","Fédération Française d'équitation"
109,0,0,"75_99","all","Fédération Française d'équitation"
109,167,6.06522844483184,"30_44","f","Fédération Française d'équitation"
109,87,3.35648148148148,"45_59","f","Fédération Française d'équitation"
109,31,1.06037284077305,"60_74","all","Fédération Française d'équitation"
109,5,0.295508274231678,"60_74","f","Fédération Française d'équitation"
109,0,0,"75_99","f","Fédération Française d'équitation"
109,46,1.5142537362565,"20_29","h","Fédération Française d'équitation"
109,6,0.749906261717285,"0_4","f","Fédération Française d'équitation"
109,238,33.0739299610895,"5_9","f","Fédération Française d'équitation"
109,2306,8.09239223888349,"all","all","Fédération Française d'équitation"
109,7,0.424989375265618,"0_4","all","Fédération Française d'équitation"
109,369,5.99424941925632,"20_29","all","Fédération Française d'équitation"
109,26,2.11107502435856,"60_74","h","Fédération Française d'équitation"
109,0,0,"75_99","h","Fédération Française d'équitation"
109,155,3.19363745003503,"45_59","all","Fédération Française d'équitation"
109,286,19.8280643372157,"5_9","all","Fédération Française d'équitation"
109,42,1.43178564123543,"30_44","h","Fédération Française d'équitation"
109,68,3.00698682232245,"45_59","h","Fédération Française d'équitation"
109,808,58.6868099941894,"10_14","all","Fédération Française d'équitation"
109,439,20.4652463754604,"15_19","all","Fédération Française d'équitation"
109,210,3.69276218611521,"30_44","all","Fédération Française d'équitation"
111,6622,23.2384307917981,"all","all","Fédération Française de football"
111,62,1.98839036592797,"20_29","f","Fédération Française de football"
111,0,0,"0_4","h","Fédération Française de football"
111,1259,91.4439279488669,"10_14","all","Fédération Française de football"
111,9,0.397386082656305,"75_99","all","Fédération Française de football"
111,0,0,"0_4","all","Fédération Française de football"
111,6414,47.5819553557519,"all","h","Fédération Française de football"
111,464,9.56030823752421,"45_59","all","Fédération Française de football"
111,1218,175.706866705136,"10_14","h","Fédération Française de football"
111,726,100.442722744881,"5_9","h","Fédération Française de football"
111,15,2.08449138410228,"5_9","f","Fédération Française de football"
111,871,40.6041676378724,"15_19","all","Fédération Française de football"
111,29,2.56251656799505,"15_19","f","Fédération Française de football"
111,1629,53.6243333991705,"20_29","h","Fédération Française de football"
111,841,82.9879613183343,"15_19","h","Fédération Française de football"
111,41,5.99678221442153,"10_14","f","Fédération Française de football"
111,208,1.38518913159297,"all","f","Fédération Française de football"
